activity_id,activity_name,wbs_path,level,level_name,ancestor_level_names,planned_start,planned_finish,discipline,area,equipment_tag,predecessors,successors,weight
A1011,Excavate foundation for pump P-101,North Plant Utilities Upgrade>Civil Works>Area A Foundations>Equipment Foundations>Pump Foundations,6,Activity,Project>Phase>Area>System>Work,2026-01-05,2026-01-16,Civil,Area A,P-101,,,5
A1012,Rebar and formwork foundation P-101,North Plant Utilities Upgrade>Civil Works>Area A Foundations>Equipment Foundations>Pump Foundations,6,Activity,Project>Phase>Area>System>Work,2026-01-19,2026-01-23,Civil,Area A,P-101,A1011,,8
A1013,Pour concrete foundation P-101,North Plant Utilities Upgrade>Civil Works>Area A Foundations>Equipment Foundations>Pump Foundations,6,Activity,Project>Phase>Area>System>Work,2026-01-26,2026-01-30,Civil,Area A,P-101,A1012,,6
A1021,Excavate pipe rack footings RA-1 to RA-6,North Plant Utilities Upgrade>Civil Works>Area A Foundations>Pipe Rack Foundations>Rack Footings,6,Activity,Project>Phase>Area>System>Work,2026-01-12,2026-01-20,Civil,Area A,,,A1022,5
A1022,Pour pipe rack footings RA-1 to RA-6,North Plant Utilities Upgrade>Civil Works>Area A Foundations>Pipe Rack Foundations>Rack Footings,6,Activity,Project>Phase>Area>System>Work,2026-01-21,2026-01-28,Civil,Area A,,A1021,,9
A1031,Erect pipe rack steel bays 1 to 6,North Plant Utilities Upgrade>Civil Works>Area A Foundations>Structural Steel>Pipe Rack Steel,6,Activity,Project>Phase>Area>System>Work,2026-02-02,2026-02-13,Civil,Area A,,A1022,,14
A1032,Bolt and weld pipe rack steel connections,North Plant Utilities Upgrade>Civil Works>Area A Foundations>Structural Steel>Pipe Rack Steel,6,Activity,Project>Phase>Area>System>Work,2026-02-16,2026-02-20,Civil,Area A,,A1031,,7
A1041,Excavate pipe support foundations Area B,North Plant Utilities Upgrade>Civil Works>Area B Structures>Pipe Support Foundations>Support Foundations,6,Activity,Project>Phase>Area>System>Work,2026-01-19,2026-01-27,Civil,Area B,,,A1042,4
A1042,Pour pipe support foundations Area B,North Plant Utilities Upgrade>Civil Works>Area B Structures>Pipe Support Foundations>Support Foundations,6,Activity,Project>Phase>Area>System>Work,2026-01-28,2026-02-04,Civil,Area B,,A1041,,6
A1051,Excavate trench for Area C pipe supports,North Plant Utilities Upgrade>Civil Works>Area C Civil>Pipe Supports>Trench and Pads,6,Activity,Project>Phase>Area>System>Work,2026-02-02,2026-02-10,Civil,Area C,,,A1052,4
A1052,Pour Area C pipe support pads,North Plant Utilities Upgrade>Civil Works>Area C Civil>Pipe Supports>Trench and Pads,6,Activity,Project>Phase>Area>System>Work,2026-02-11,2026-02-18,Civil,Area C,,A1051,,6
B2011,Prefab 24-inch spool pieces line 2001,North Plant Utilities Upgrade>Piping Installation>Area B Pipework>Pipe Rack Pipework>24-inch Line 2001,6,Activity,Project>Phase>Area>System>Work,2026-02-09,2026-02-20,Piping,Area B,PIP-0232,,B2012,12
B2012,Install 24-inch spool pieces rack bays 1 to 3,North Plant Utilities Upgrade>Piping Installation>Area B Pipework>Pipe Rack Pipework>24-inch Line 2001,6,Activity,Project>Phase>Area>System>Work,2026-02-23,2026-03-13,Piping,Area B,PIP-0232,B2011;A1032,,18
B2013,Hydrotest 24-inch line 2001,North Plant Utilities Upgrade>Piping Installation>Area B Pipework>Pipe Rack Pipework>24-inch Line 2001,6,Activity,Project>Phase>Area>System>Work,2026-03-16,2026-03-20,Piping,Area B,PIP-0232,B2012,,6
B2021,Install 12-inch line 2002 spools,North Plant Utilities Upgrade>Piping Installation>Area B Pipework>Pipe Rack Pipework>12-inch Line 2002,6,Activity,Project>Phase>Area>System>Work,2026-02-23,2026-03-06,Piping,Area B,,B2011,,10
B2022,Align and tie in 12-inch line 2002,North Plant Utilities Upgrade>Piping Installation>Area B Pipework>Pipe Rack Pipework>12-inch Line 2002,6,Activity,Project>Phase>Area>System>Work,2026-03-09,2026-03-13,Piping,Area B,,B2021,,6
B2023,Hydrotest 12-inch line 2002,North Plant Utilities Upgrade>Piping Installation>Area B Pipework>Pipe Rack Pipework>12-inch Line 2002,6,Activity,Project>Phase>Area>System>Work,2026-03-16,2026-03-18,Piping,Area B,,B2022,,4
B2031,Install 6-inch suction line to pump P-201,North Plant Utilities Upgrade>Piping Installation>Area B Pipework>Equipment Connections>Pump P-201 Tie-ins,6,Activity,Project>Phase>Area>System>Work,2026-03-23,2026-03-27,Piping,Area B,P-201,B2013,,5
B2032,Install 4-inch discharge line from pump P-201,North Plant Utilities Upgrade>Piping Installation>Area B Pipework>Equipment Connections>Pump P-201 Tie-ins,6,Activity,Project>Phase>Area>System>Work,2026-03-30,2026-04-02,Piping,Area B,P-201,B2031,,5
